1234;1581723295.638023
1234;1581723353.747362
1234;1581723705.493344
757494040;1581724273.141109
1234;1581724295.650719
1234;1581724322.948276
1234;1581727529.811753
1234;1581727540.156635
1234;1581727714.365879
1234;1581727725.89307
1234;1581728504.211003
1234;1581728515.282552
1234;1581728625.433839
1234;1581728637.956611
1234;1581729245.607427
1234;1581729260.691446
86585685678567;1581729915.37145
45522345;1581729938.163638
252544523;1581729943.445485
534252345243;1581729970.569835
1234;1581729988.927629
777777;1583466872.494283
777777;1583507238.902572
777777;1583507542.798069
2222;1583534932.6618319
1234;1583534954.469517
2222;1583588557.117336
2222;1583588943.194699
2222;1583678454.345889
2222;1583678870.06383
2222;1583679406.194669
2222;1583679559.262592
2222;1583679595.760072
987;1583679635.769554
1234;1583679684.148867
2222;1583679732.289817
2222;1583679763.174072
2222;1583679802.630391
2222;1583679816.340762
7756756;1583679871.074145
45674567456;1583679908.552116
4567456456;1583680044.903424
1234;1583680061.601737
987;1583680063.16561
1234;1583680077.295919
1234;1583680214.805971
987;1583680244.478879
1234;1583680427.728184
987;1583680459.439369
2222;1583680750.24292
1234;1583680783.668906
2222;1583680811.531423
